tpep_pickup_datetime,revenue,total_distance,total_duration_minutes,total_passengers,total_tips,total_fare_revenue,total_trips,duration_p50,speed_p50,avg_trip_price,avg_distance,avg_duration_minutes,avg_tip,avg_speed_mph,avg_tip_pct,revenue_index_100,trips_index_100,revenue_index_dow
2022-06-06,3341973.2,569561.2,2289237.4,217994.0,421863.8,2272983.32,150070,11.683333333333334,10.799999999999999,22.269428933164523,3.7953035250216565,15.254463916838809,2.8111134803758246,14.927972083629246,18.55991622499016,183.53878107238452,172.83197051710238,108.98834014254734
2022-06-07,3681216.46,585126.66,2792926.6,244036.0,473187.66,2496161.64,170478,12.766666666666667,9.606741573033707,21.59349863325473,3.4322707915390844,16.382915097549244,2.775652342237708,12.570183405464363,18.95661131944965,202.16977860025875,196.33536796038237,107.26091576313506
2022-06-08,3779255.68,595536.08,2940607.7,247208.0,493366.62,2561184.32,172718,13.283333333333333,9.451737451737454,21.881075973552264,3.4480255676883704,17.02548489445223,2.8564864113757684,12.151285871964491,19.263221945697374,207.55402253617285,198.9151215017851,106.20323087287117
2022-06-09,3992339.02,628160.36,3105524.033333333,257016.0,516875.96,2723631.44,177802,13.4,9.419354838709678,22.453847650757584,3.5329206645594535,17.466192918714825,2.90703119200009,12.136316188654838,18.977456068725658,219.25640736990894,204.7702407002188,108.71325390547713
2022-06-10,3818930.06,618245.0,2935554.9,250086.0,484852.64,2613478.4,169958,48.25,9.938028169014084,22.469845844267407,3.6376340036950303,17.272237258616833,2.8527791572035444,12.636350285937421,18.55200486830119,209.73291114754846,195.7364966025567,106.75616597921254
2022-06-11,3499243.3,589414.08,2578980.0,248264.0,443017.54,2422014.86,163402,12.416666666666666,10.974358974358976,21.41493555770431,3.6071411610629,15.783038151307817,2.71121246985961,13.712725496126374,18.291280838797167,192.1759426310505,188.1861107912012,108.11843617581741
2022-06-12,3132681.5,569093.68,2115087.533333333,203488.0,396889.06,2188235.0,133756,41.233333333333334,12.08135593220339,23.420867101288913,4.254715152965101,15.8130291974441,2.9672617303149016,16.143833416760405,18.13740571739324,172.04463039919324,154.04353334101117,106.41113393950738
2022-06-13,3494838.1,599276.74,2475981.2666666666,226352.0,450210.77999999997,2368607.8,157550,42.766666666666666,10.8486799742434,22.18240622024754,3.8037241510631543,15.715526922670051,2.8575739765153916,14.522163347547137,19.00740088755935,191.9340121935533,181.44650466428652,113.97356615125875
2022-06-14,3662240.18,590200.14,2795658.7333333334,240404.0,474587.58,2487657.7,166816,43.2,9.785392541906226,21.95377050163054,3.5380307644350664,16.75893639299188,2.8449763811624784,12.66678510426678,19.077688220529694,201.12761485684865,192.11793159046414,106.7079971307497
2022-06-15,3886171.52,622661.56,2988238.533333333,251070.0,505159.62,2644805.22,174700,13.116666666666667,9.827586206896552,22.244828391528333,3.5641760732684604,17.104971570311008,2.891583400114482,12.502246116987807,19.100068926814956,213.42576410218243,201.19774271565126,109.2077398558376
2022-06-16,3752756.04,602372.24,2934123.566666667,244170.0,492401.5,2546274.38,170750,13.183333333333334,9.670951156812338,21.978073440702783,3.5278022840409955,17.183739775500246,2.883756954612006,12.317931940766819,19.338116263809717,206.098681235274,196.6486237475527,102.18929759673388
2022-06-17,3745008.86,628853.8,2800009.8666666667,240644.0,485967.2,2551304.34,165466,12.616666666666667,10.347019867549669,22.633102027002526,3.8005016136245517,16.92196503612021,2.93696106753049,13.475391086717124,19.047794196124794,205.67321164325324,190.5631694114937,104.6897380078706
2022-06-18,3313557.78,578204.22,2385379.466666667,235872.0,414383.3,2293839.82,155782,40.36666666666667,11.328998699609883,21.27047913109345,3.7116240643976837,15.31229196355591,2.6600204131414413,14.543704129590337,18.0650495464849,181.9782265022701,179.4103420476794,102.38118777045688
2022-06-19,2967046.98,552820.02,2004955.7666666666,203162.0,373253.86,2061620.6,131912,11.366666666666667,12.768359372536157,22.492623718842864,4.190824337437079,15.199191632805709,2.8295671356662018,16.54360747077496,18.104876328845375,162.94810086858257,151.9198433721064,100.78484952702371
2022-06-20,3046878.06,543701.38,2073237.6666666667,197736.0,384838.22,2076296.3,133450,43.75,11.594805194805193,22.831607793180968,4.074195428999626,15.535688772324217,2.8837633570625703,15.734849566209887,18.534841101436243,167.33236676122706,153.69112058044453,99.36470537110974
2022-06-21,3532373.7600000002,570762.66,2730667.3333333335,231408.0,455015.88,2399147.3,161676,42.70249999999991,9.569620253164558,21.84847324278186,3.5302868700363694,16.88975069480525,2.81436873747495,12.541168666706868,18.965733367017528,193.99544383015274,186.19831855349534,102.92403297448817
2022-06-22,3565388.22,558879.32,2755380.533333333,233444.0,462226.7,2426530.3,163530,42.096666666666714,9.46726862302483,21.80265529260686,3.4175950590105786,16.8493886952445,2.82655598361157,12.16991947004634,19.04887402395099,195.80857439211024,188.33352527928136,100.19320743074869
2022-06-23,3876161.82,631725.34,2951736.6,247620.0,507590.02,2635947.4,172462,13.25,9.864473684210527,22.475454418944462,3.662982802008558,17.115286845797915,2.943199197504378,12.84109171529736,19.256454813931416,212.87603852781209,198.6202925256248,105.54969455383984
2022-06-24,3697904.48,605973.28,2778637.6666666665,241414.0,468814.0,2531956.7,164334,12.733333333333333,10.33136094674556,22.502370051237115,3.6874492192729442,16.90847704471787,2.852811956138109,13.084972263985962,18.515877463465312,203.08627273890463,189.25947253253483,103.37296002801205
2022-06-25,3435126.92,573162.94,2444018.8,244430.0,422277.76,2393569.3,160562,40.38333333333333,11.35191637630662,21.39439543603094,3.569729699430749,15.221651449284387,2.6299981315628855,14.070995034899077,17.642178147923275,188.65471683786527,184.91535183692272,106.137389948236
2022-06-26,2966221.88,531928.1,1989955.3333333333,189584.0,364574.42,2093860.14,124458,11.883333333333333,12.558139534883722,23.833115428497965,4.273956676147777,15.988970844247323,2.9292967908852785,16.038393156563313,17.41159368934737,162.90278696592685,143.33525279281355,100.75682247524283
2022-06-27,3111750.46,537062.88,2189614.0,197372.0,388967.32,2131258.14,137926,11.75,10.96345514950166,22.56101431202239,3.893848005452199,15.875280947754593,2.8201160042341544,14.716645399600113,18.250596335552295,170.8951126328098,158.84602096049753,101.48032233568125
