tpep_pickup_datetime,revenue,total_distance,total_duration_minutes,total_passengers,total_tips,total_fare_revenue,total_trips,duration_p50,duration_p95,speed_p50,avg_trip_price,avg_distance,avg_duration_minutes,avg_tip,avg_speed_mph,avg_tip_pct,revenue_index_100,trips_index_100
2022-04-10,12117247.08,2006534.1700000002,8833479.333333334,847071.0,1567197.1900000002,8195133.03,575415,11.95,39.233333333333334,10.388059701492537,21.058274601809128,3.487107861282727,15.351492980428619,2.723594605632457,13.629063436611878,19.12351128728413,655.3763165253027,684.9363171051065
2022-04-17,11645485.44,1954012.0,8563354.783333333,817976.0,1480614.72,7923861.24,546718,12.1,40.71666666666667,10.771653543307087,21.300717079005995,3.5740765806137715,15.663202571221971,2.7081872555869753,13.690980108424679,18.68552054553646,629.8605039104513,650.7772884180454
2022-04-24,11908268.72,2007780.66,8461458.65,834397.0,1527107.8900000001,8077354.39,561230,11.95,38.083333333333336,10.751131221719456,21.2181613955063,3.5774649608894746,15.076632842150278,2.721001888708729,14.237124422985861,18.906040471501466,644.0734630878784,668.0514224497084
2022-05-01,12119338.2,2032371.5299999998,8894128.8,818035.0,1565050.58,8237763.94,561775,12.316666666666666,41.28333333333333,10.200000000000001,21.573295714476433,3.617767842997641,15.832190467713943,2.7859028614658894,13.710425668672572,18.998487834794645,655.4894173405262,668.7001547434829
2022-05-08,11555436.82,1929644.24,8404025.1,786281.0,1490699.06,7831693.84,541129,12.083333333333334,40.28333333333333,10.407424593967518,21.35431074660571,3.565959761905202,15.530539113593985,2.754794254235127,13.776571704908402,19.03418456408914,624.990112765156,644.1245089870254
2022-05-15,12375735.969999999,2061871.27,9200852.1,823121.0,1602522.25,8417830.41,566457,12.583333333333334,42.53333333333333,10.295585412667947,21.847617683248682,3.6399431377845097,16.242807662364488,2.829027181233527,13.44574120477385,19.03723610416618,669.3570083006258,674.2733007975241
2022-05-22,12757524.47,2122836.21,9876693.716666667,814406.0,1651889.5299999998,8768515.29,558553,13.433333333333334,47.85,10.064516129032258,22.840311429712134,3.80059942386846,17.68264375389026,2.9574445576337425,12.896033455514177,18.838873804370134,690.0065121994703,664.8648970360672
2022-05-29,11507215.78,1947713.72,8541168.116666667,764360.0,1462103.71,7880330.67,518493,12.683333333333334,43.0,10.53211009174312,22.193579816892417,3.756489904396009,16.47306350648257,2.81991022058157,13.682299845141985,18.553837030800636,622.3820180910463,617.1800976074277
2022-06-05,11687413.12,1976288.75,8611081.083333334,783237.0,1474152.86,8028159.27,531170,12.783333333333333,42.7,10.1602787456446,22.00314987668731,3.720633224767965,16.211535070379227,2.775293898375285,13.770318018431542,18.362277209779375,632.1282144141189,632.2699678609689
2022-06-12,12622819.61,2077568.53,9378959.083333334,834046.0,1615026.64,8638844.49,569092,12.683333333333334,43.166666666666664,10.243193756390237,22.180630917320926,3.6506725274648035,16.480567436079465,2.8379007963563008,13.290825846709765,18.694938216210442,682.7208330033623,677.4098321628378
2022-06-19,12410809.73,2087194.36,9192173.6,820837.0,1597981.92,8477054.93,561488,12.466666666666667,44.21666666666667,10.607142857142856,22.103428265608528,3.7172555067962274,16.37109537514604,2.8459769754651925,13.623726775569164,18.850673178308636,671.2540160519519,668.3585287465778
